recipe_id,asset_order,asset_role,asset_type,candidate_asset_id,asset_family,default_variant,available_variants,required,slot,variant_dimension,notes
recipe.table.standard,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,false,PAGE_CONTENT_SLOT,操作密度,一级列表页不展示page-header；下钻二级/三级页面按需选变体：纯查看用basic/有主操作用with-actions/需返回用with-back
recipe.table.standard,2,汇总横幅,region,region.summary-banner.basic,region.summary-banner,basic,basic,false,PAGE_CONTENT_SLOT,,表格页顶部展示关键指标或汇总信息时启用
recipe.table.standard,3,筛选区,region,region.filter-bar.basic,region.filter-bar,basic,compact-inline;basic;advanced-expand,true,PAGE_CONTENT_SLOT,筛选复杂度,1-2字段用compact-inline/2-4字段用basic/5+字段用advanced-expand
recipe.table.standard,4,表格工具栏,region,region.table-toolbar.basic,region.table-toolbar,basic,basic;with-column-settings,true,PAGE_CONTENT_SLOT,操作密度,无需列设置用basic/需列设置用with-column-settings
recipe.table.standard,5,表格区,region,region.data-table.basic,region.data-table,basic,basic;with-selection-summary,true,PAGE_CONTENT_SLOT,数据形态,无批量操作用basic/需批量选择用with-selection-summary
recipe.table.standard,6,分页区,region,region.pagination.basic,region.pagination,basic,basic,true,PAGE_CONTENT_SLOT,,唯一变体
recipe.table.standard,7,批量操作,module,module.batch-action-footer,module.batch-action-footer,basic,basic,false,OVERLAY_OR_PAGE_SLOT,,选中行后出现；无批量需求可跳过
recipe.table.standard,8,详情抽屉,overlay,overlay.detail-drawer,overlay.detail-drawer,detail,detail,false,OVERLAY_SLOT,,查看详情时使用
recipe.table.standard,9,功能弹窗,overlay,OV_MODAL_FUNCTIONAL,OV_MODAL_FUNCTIONAL,functional,functional,false,OVERLAY_SLOT,,短流程新增或编辑优先
recipe.table.standard,10,通用抽屉,overlay,OV_DRAWER_BASIC,OV_DRAWER_BASIC,basic,basic,false,OVERLAY_SLOT,,复杂配置或长内容优先
recipe.table.standard,11,确认弹窗,overlay,OV_MODAL_CONFIRM,OV_MODAL_CONFIRM,confirm,confirm,false,OVERLAY_SLOT,,删除或高风险动作确认
recipe.table.standard,12,空状态,state,ST_EMPTY_BASIC,ST_EMPTY_BASIC,basic,basic,false,PAGE_CONTENT_SLOT,,列表无数据时可选
recipe.table.standard,13,列设置,module,module-table-header-settings-panel,module-table-header-settings-panel,panel,panel,false,OVERLAY_SLOT,,复杂表格可选
recipe.table.standard,14,异步处理,module,module-async-processing-status-panel,module-async-processing-status-panel,status-panel,status-panel,false,OVERLAY_OR_PAGE_SLOT,,导入/异步任务可选
recipe.table.standard,15,上传下载,module,module-upload-download-basic,module-upload-download-basic,basic,basic,false,OVERLAY_OR_PAGE_SLOT,,导入导出场景可选
recipe.table.standard,16,表头筛选,module,module-table-header-filter-dropdown,module-table-header-filter-dropdown,dropdown,dropdown,false,OVERLAY_SLOT,,列级筛选可选
recipe.table.standard,17,骨架加载,state,ST_LOADING_SKELETON,ST_LOADING_SKELETON,skeleton,skeleton,false,PAGE_CONTENT_SLOT,,首屏加载可选
recipe.table.standard,18,加载动画,state,ST_LOADING_SPIN,ST_LOADING_SPIN,spin,spin,false,CONTENT_SLOT,,局部加载可选
recipe.table.report,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,操作密度,报表页头部
recipe.table.report,2,筛选区,region,region.filter-bar.advanced-expand,region.filter-bar,advanced-expand,basic;advanced-expand,true,PAGE_CONTENT_SLOT,筛选复杂度,报表默认高级展开
recipe.table.report,3,汇总区,region,region.report-summary-bar.basic,region.report-summary-bar,basic,basic,false,PAGE_CONTENT_SLOT,,报表指标汇总；纯明细可跳过
recipe.table.report,4,表格工具栏,region,region.table-toolbar.with-column-settings,region.table-toolbar,with-column-settings,basic;with-column-settings,true,PAGE_CONTENT_SLOT,操作密度,报表默认含列设置
recipe.table.report,5,报表明细,region,region.report-table.basic,region.report-table,basic,basic,true,PAGE_CONTENT_SLOT,,报表/汇总明细表格
recipe.table.report,6,分页区,region,region.pagination.basic,region.pagination,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.table.report,7,全屏入口,module,module-fullscreen-entry,module-fullscreen-entry,entry,entry,false,OVERLAY_SLOT,,沉浸报表可选
recipe.table.report,8,空状态,state,ST_EMPTY_BASIC,ST_EMPTY_BASIC,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.table.report,9,骨架加载,state,ST_LOADING_SKELETON,ST_LOADING_SKELETON,skeleton,skeleton,false,PAGE_CONTENT_SLOT,,
recipe.table.report,10,导出下载,module,module-upload-download-basic,module-upload-download-basic,basic,basic,false,OVERLAY_OR_PAGE_SLOT,,报表导出场景可选
recipe.table.report,11,列设置,module,module-table-header-settings-panel,module-table-header-settings-panel,panel,panel,false,OVERLAY_SLOT,,
recipe.table.report,12,异步处理,module,module-async-processing-status-panel,module-async-processing-status-panel,status-panel,status-panel,false,OVERLAY_OR_PAGE_SLOT,,报表异步生成可选
recipe.table.parent-child,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,操作密度,
recipe.table.parent-child,2,分栏布局,layout,layout.master-detail.basic,layout.master-detail,basic,basic,true,PAGE_CONTENT_SLOT,布局模式,主从分栏
recipe.table.parent-child,3,树形模块,module,module-tree-basic,module-tree-basic,basic,basic,true,MASTER_SLOT,,左侧树形选择
recipe.table.parent-child,4,表格区,region,region.data-table.basic,region.data-table,basic,basic;with-selection-summary,true,DETAIL_SLOT,数据形态,右侧表格区
recipe.table.parent-child,5,筛选区,region,region.filter-bar.basic,region.filter-bar,basic,compact-inline;basic,false,PAGE_CONTENT_SLOT,筛选复杂度,可选筛选
recipe.table.parent-child,6,分页区,region,region.pagination.basic,region.pagination,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.table.parent-child,7,详情抽屉,overlay,overlay.detail-drawer,overlay.detail-drawer,detail,detail,false,OVERLAY_SLOT,,
recipe.table.parent-child,8,空状态,state,ST_EMPTY_BASIC,ST_EMPTY_BASIC,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.table.parent-child,9,确认弹窗,overlay,OV_MODAL_CONFIRM,OV_MODAL_CONFIRM,confirm,confirm,false,OVERLAY_SLOT,,
recipe.table.parent-child,10,批量操作,module,module.batch-action-footer,module.batch-action-footer,basic,basic,false,OVERLAY_OR_PAGE_SLOT,,
recipe.table.card,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions,true,PAGE_CONTENT_SLOT,操作密度,
recipe.table.card,2,筛选区,region,region.filter-bar.basic,region.filter-bar,basic,compact-inline;basic,false,PAGE_CONTENT_SLOT,筛选复杂度,
recipe.table.card,3,卡片网格,region,region.card-grid.basic,region.card-grid,basic,basic,true,PAGE_CONTENT_SLOT,,卡片列表
recipe.table.card,4,分页区,region,region.pagination.basic,region.pagination,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.table.card,5,空状态,state,ST_EMPTY_BASIC,ST_EMPTY_BASIC,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.table.card,6,批量操作,module,module.batch-action-footer,module.batch-action-footer,basic,basic,false,OVERLAY_OR_PAGE_SLOT,,
recipe.table.editable,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,操作密度,
recipe.table.editable,2,表格工具栏,region,region.table-toolbar.basic,region.table-toolbar,basic,basic;with-column-settings,true,PAGE_CONTENT_SLOT,操作密度,
recipe.table.editable,3,可编辑表格,region,region.editable-table.basic,region.editable-table,basic,basic,true,PAGE_CONTENT_SLOT,,行内编辑
recipe.table.editable,4,底部保存区,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,保存/取消
recipe.table.editable,5,确认弹窗,overlay,OV_MODAL_CONFIRM,OV_MODAL_CONFIRM,confirm,confirm,false,OVERLAY_SLOT,,放弃编辑确认
recipe.table.editable,6,空状态,state,ST_EMPTY_BASIC,ST_EMPTY_BASIC,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.form.basic.vertical,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,标题/说明/主操作
recipe.form.basic.vertical,2,表单卡片,region,region.form-section.basic,region.form-section,basic-section,basic-section;multi-section,true,PAGE_CONTENT_SLOT,,单分组或简单表单
recipe.form.basic.vertical,3,底部操作,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,提交/保存/取消
recipe.form.basic.horizontal,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.form.basic.horizontal,2,左右表单,region,region.form-section.horizontal,region.form-section,horizontal,horizontal;basic-section,true,PAGE_CONTENT_SLOT,,标签对齐表单
recipe.form.basic.horizontal,3,底部操作,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,
recipe.form.step,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.form.step,2,步骤条,region,region.step-indicator.basic,region.step-indicator,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.form.step,3,步骤表单,region,region.form-section.basic,region.form-section,basic-section,basic-section;multi-section,true,PAGE_CONTENT_SLOT,,
recipe.form.step,4,步骤操作,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,
recipe.detail.basic.vertical,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
